Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2018.01.01 00:00:00,1,,balance,,,,,0,0,3000.00,3000.00,
2018.01.03 12:00:00,2,XAUUSD,buy,in,0.03,1315.91,2,0.00,0.00,0.00,3000.00,els atr=2.47214
2018.01.03 19:07:31,3,XAUUSD,sell,out,0.03,1310.96,3,0.00,0.00,-14.85,2985.15,sl 1310.97
2018.01.10 15:00:00,4,XAUUSD,buy,in,0.02,1317.98,4,0.00,0.00,0.00,2985.15,els atr=3.54857
2018.01.16 09:19:28,5,XAUUSD,sell,out,0.02,1333.93,5,0.00,-5.40,31.90,3011.65,sl 1333.95
2018.01.17 12:00:00,6,XAUUSD,buy,in,0.02,1337.50,6,0.00,0.00,0.00,3011.65,els atr=2.87929
2018.01.17 16:38:38,7,XAUUSD,sell,out,0.02,1331.73,7,0.00,0.00,-11.54,3000.11,sl 1331.74
2018.01.25 13:00:00,8,XAUUSD,buy,in,0.02,1358.36,8,0.00,0.00,0.00,3000.11,els atr=2.77000
2018.01.25 14:18:42,9,XAUUSD,sell,out,0.02,1352.79,9,0.00,0.00,-11.14,2988.97,sl 1352.82
2018.03.07 12:00:00,10,XAUUSD,sell,in,0.02,1330.98,10,0.00,0.00,0.00,2988.97,els atr=2.51500
2018.03.09 14:58:42,11,XAUUSD,buy,out,0.02,1320.38,11,0.00,1.60,21.20,3011.77,sl 1320.38
2018.05.23 14:00:00,12,XAUUSD,sell,in,0.03,1292.10,12,0.00,0.00,0.00,3011.77,els atr=2.45429
2018.05.24 00:52:28,13,XAUUSD,buy,out,0.03,1295.22,13,0.00,1.80,-9.36,3004.21,sl 1295.22
2018.05.29 14:00:00,14,XAUUSD,sell,in,0.02,1297.69,14,0.00,0.00,0.00,3004.21,els atr=2.96429
2018.05.29 15:48:30,15,XAUUSD,buy,out,0.02,1301.67,15,0.00,0.00,-7.96,2996.25,sl 1301.66
2018.06.25 14:00:00,16,XAUUSD,sell,in,0.03,1267.27,16,0.00,0.00,0.00,2996.25,els atr=2.17500
2018.06.26 16:10:02,17,XAUUSD,buy,out,0.03,1261.24,17,0.00,0.60,18.09,3014.94,sl 1261.24
2018.07.04 13:00:00,18,XAUUSD,sell,in,0.03,1254.66,18,0.00,0.00,0.00,3014.94,els atr=2.46643
2018.07.05 16:18:27,19,XAUUSD,buy,out,0.03,1258.64,19,0.00,1.80,-11.94,3004.80,sl 1258.64
2018.07.13 15:00:00,20,XAUUSD,sell,in,0.02,1240.23,20,0.00,0.00,0.00,3004.80,els atr=2.56286
2018.07.16 06:49:38,21,XAUUSD,buy,out,0.02,1245.36,21,0.00,0.40,-10.26,2994.94,sl 1245.36
2018.08.08 15:00:00,22,XAUUSD,sell,in,0.03,1209.54,22,0.00,0.00,0.00,2994.94,els atr=2.34929
2018.08.08 23:22:11,23,XAUUSD,buy,out,0.03,1214.24,23,0.00,0.00,-14.10,2980.84,sl 1214.24
2018.08.16 14:00:00,24,XAUUSD,sell,in,0.01,1176.43,24,0.00,0.00,0.00,2980.84,els atr=4.50000
2018.08.20 03:22:03,25,XAUUSD,buy,out,0.01,1185.25,25,0.00,0.40,-8.82,2972.42,sl 1185.25
2018.08.23 14:00:00,26,XAUUSD,sell,in,0.03,1191.06,26,0.00,0.00,0.00,2972.42,els atr=2.33571
2018.08.24 08:53:38,27,XAUUSD,buy,out,0.03,1190.20,27,0.00,0.60,2.58,2975.60,sl 1190.19
2019.01.02 14:00:00,28,XAUUSD,buy,in,0.03,1284.33,28,0.00,0.00,0.00,2975.60,els atr=2.18429
2019.01.02 18:36:04,29,XAUUSD,sell,out,0.03,1281.20,29,0.00,0.00,-9.39,2966.21,sl 1281.21
2019.01.03 12:00:00,30,XAUUSD,buy,in,0.02,1287.31,30,0.00,0.00,0.00,2966.21,els atr=2.58500
2019.01.04 09:27:39,31,XAUUSD,sell,out,0.02,1290.81,31,0.00,-0.90,7.00,2972.31,sl 1290.81
2019.01.14 15:00:00,32,XAUUSD,buy,in,0.02,1292.25,32,0.00,0.00,0.00,2972.31,els atr=2.57357
2019.01.15 17:02:02,33,XAUUSD,sell,out,0.02,1287.10,33,0.00,-0.90,-10.30,2961.11,sl 1287.10
2019.05.28 12:00:00,34,XAUUSD,sell,in,0.05,1282.62,34,0.00,0.00,0.00,2961.11,els atr=1.43786
2019.05.29 00:10:39,35,XAUUSD,buy,out,0.05,1280.44,35,0.00,1.00,10.90,2973.01,sl 1280.44
2019.06.05 15:00:00,36,XAUUSD,buy,in,0.01,1332.43,36,0.00,0.00,0.00,2973.01,els atr=4.07429
2019.06.09 22:10:00,37,XAUUSD,sell,out,0.01,1334.60,37,0.00,-2.25,2.17,2972.93,sl 1335.93
2019.06.12 14:00:00,38,XAUUSD,buy,in,0.02,1332.49,38,0.00,0.00,0.00,2972.93,els atr=2.59071
2019.06.14 12:44:43,39,XAUUSD,sell,out,0.02,1350.27,39,0.00,-3.60,35.56,3004.89,sl 1350.35
2019.06.14 14:00:00,40,XAUUSD,buy,in,0.02,1350.98,40,0.00,0.00,0.00,3004.89,els atr=3.48071
2019.06.14 17:02:35,41,XAUUSD,sell,out,0.02,1344.01,41,0.00,0.00,-13.94,2990.95,sl 1344.01
2019.06.21 15:00:00,42,XAUUSD,buy,in,0.01,1392.70,42,0.00,0.00,0.00,2990.95,els atr=7.39143
2019.06.25 17:20:28,43,XAUUSD,sell,out,0.01,1416.89,43,0.00,-0.90,24.19,3014.24,sl 1416.90
2019.06.28 13:00:00,44,XAUUSD,buy,in,0.01,1413.07,44,0.00,0.00,0.00,3014.24,els atr=4.47643
2019.06.30 22:10:00,45,XAUUSD,sell,out,0.01,1392.26,45,0.00,-0.45,-20.81,2992.98,sl 1404.13
