Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment
2018.01.01 00:00:00,1,,balance,,,,,0,0,25000.00,25000.00,
2018.01.03 12:00:00,2,XAUUSD,buy,in,0.25,1315.91,2,0.00,0.00,0.00,25000.00,els atr=2.47214
2018.01.03 19:07:31,3,XAUUSD,sell,out,0.25,1310.96,3,0.00,0.00,-123.75,24876.25,sl 1310.97
2018.01.10 15:00:00,4,XAUUSD,buy,in,0.17,1317.98,4,0.00,0.00,0.00,24876.25,els atr=3.54857
2018.01.16 09:19:28,5,XAUUSD,sell,out,0.17,1333.93,5,0.00,-45.90,271.15,25101.50,sl 1333.95
2018.01.17 12:00:00,6,XAUUSD,buy,in,0.21,1337.50,6,0.00,0.00,0.00,25101.50,els atr=2.87929
2018.01.17 16:38:38,7,XAUUSD,sell,out,0.21,1331.73,7,0.00,0.00,-121.17,24980.33,sl 1331.74
2018.01.25 13:00:00,8,XAUUSD,buy,in,0.22,1358.36,8,0.00,0.00,0.00,24980.33,els atr=2.77000
2018.01.25 14:18:42,9,XAUUSD,sell,out,0.22,1352.79,9,0.00,0.00,-122.54,24857.79,sl 1352.82
2018.03.07 12:00:00,10,XAUUSD,sell,in,0.24,1330.98,10,0.00,0.00,0.00,24857.79,els atr=2.51500
2018.03.09 14:58:42,11,XAUUSD,buy,out,0.24,1320.38,11,0.00,19.20,254.40,25131.39,sl 1320.38
2018.05.23 14:00:00,12,XAUUSD,sell,in,0.25,1292.10,12,0.00,0.00,0.00,25131.39,els atr=2.45429
2018.05.24 00:52:28,13,XAUUSD,buy,out,0.25,1295.22,13,0.00,15.00,-78.00,25068.39,sl 1295.22
2018.05.29 14:00:00,14,XAUUSD,sell,in,0.21,1297.69,14,0.00,0.00,0.00,25068.39,els atr=2.96429
2018.05.29 15:48:30,15,XAUUSD,buy,out,0.21,1301.67,15,0.00,0.00,-83.58,24984.81,sl 1301.66
2018.06.25 14:00:00,16,XAUUSD,sell,in,0.28,1267.27,16,0.00,0.00,0.00,24984.81,els atr=2.17500
2018.06.26 16:10:02,17,XAUUSD,buy,out,0.28,1261.24,17,0.00,5.60,168.84,25159.25,sl 1261.24
2018.07.04 13:00:00,18,XAUUSD,sell,in,0.25,1254.66,18,0.00,0.00,0.00,25159.25,els atr=2.46643
2018.07.05 16:18:27,19,XAUUSD,buy,out,0.25,1258.64,19,0.00,15.00,-99.50,25074.75,sl 1258.64
2018.07.13 15:00:00,20,XAUUSD,sell,in,0.24,1240.23,20,0.00,0.00,0.00,25074.75,els atr=2.56286
2018.07.16 06:49:38,21,XAUUSD,buy,out,0.24,1245.36,21,0.00,4.80,-123.12,24956.43,sl 1245.36
2018.08.08 15:00:00,22,XAUUSD,sell,in,0.26,1209.54,22,0.00,0.00,0.00,24956.43,els atr=2.34929
2018.08.08 23:22:11,23,XAUUSD,buy,out,0.26,1214.24,23,0.00,0.00,-122.20,24834.23,sl 1214.24
2018.08.16 14:00:00,24,XAUUSD,sell,in,0.13,1176.43,24,0.00,0.00,0.00,24834.23,els atr=4.50000
2018.08.20 03:22:03,25,XAUUSD,buy,out,0.13,1185.25,25,0.00,5.20,-114.66,24724.77,sl 1185.25
2018.08.23 14:00:00,26,XAUUSD,sell,in,0.26,1191.06,26,0.00,0.00,0.00,24724.77,els atr=2.33571
2018.08.24 08:53:38,27,XAUUSD,buy,out,0.26,1190.20,27,0.00,5.20,22.36,24752.33,sl 1190.19
2019.01.02 14:00:00,28,XAUUSD,buy,in,0.28,1284.33,28,0.00,0.00,0.00,24752.33,els atr=2.18429
2019.01.02 18:36:04,29,XAUUSD,sell,out,0.28,1281.20,29,0.00,0.00,-87.64,24664.69,sl 1281.21
2019.01.03 12:00:00,30,XAUUSD,buy,in,0.23,1287.31,30,0.00,0.00,0.00,24664.69,els atr=2.58500
2019.01.04 09:27:39,31,XAUUSD,sell,out,0.23,1290.81,31,0.00,-10.35,80.50,24734.84,sl 1290.81
2019.01.14 15:00:00,32,XAUUSD,buy,in,0.24,1292.25,32,0.00,0.00,0.00,24734.84,els atr=2.57357
2019.01.15 17:02:02,33,XAUUSD,sell,out,0.24,1287.10,33,0.00,-10.80,-123.60,24600.44,sl 1287.10
2019.05.28 12:00:00,34,XAUUSD,sell,in,0.42,1282.62,34,0.00,0.00,0.00,24600.44,els atr=1.43786
2019.05.29 00:10:39,35,XAUUSD,buy,out,0.42,1280.44,35,0.00,8.40,91.56,24700.40,sl 1280.44
2019.06.05 15:00:00,36,XAUUSD,buy,in,0.15,1332.43,36,0.00,0.00,0.00,24700.40,els atr=4.07429
2019.06.09 22:10:00,37,XAUUSD,sell,out,0.15,1334.60,37,0.00,-33.75,32.55,24699.20,sl 1335.93
2019.06.12 14:00:00,38,XAUUSD,buy,in,0.23,1332.49,38,0.00,0.00,0.00,24699.20,els atr=2.59071
2019.06.14 12:44:43,39,XAUUSD,sell,out,0.23,1350.27,39,0.00,-41.40,408.94,25066.74,sl 1350.35
2019.06.14 14:00:00,40,XAUUSD,buy,in,0.18,1350.98,40,0.00,0.00,0.00,25066.74,els atr=3.48071
2019.06.14 17:02:35,41,XAUUSD,sell,out,0.18,1344.01,41,0.00,0.00,-125.46,24941.28,sl 1344.01
2019.06.21 15:00:00,42,XAUUSD,buy,in,0.08,1392.70,42,0.00,0.00,0.00,24941.28,els atr=7.39143
2019.06.25 17:20:28,43,XAUUSD,sell,out,0.08,1416.89,43,0.00,-7.20,193.52,25127.60,sl 1416.90
2019.06.28 13:00:00,44,XAUUSD,buy,in,0.14,1413.07,44,0.00,0.00,0.00,25127.60,els atr=4.47643
2019.06.30 22:10:00,45,XAUUSD,sell,out,0.14,1392.26,45,0.00,-6.30,-291.34,24829.96,sl 1404.13
2019.07.03 12:00:00,46,XAUUSD,buy,in,0.09,1419.44,46,0.00,0.00,0.00,24829.96,els atr=6.50286
2019.07.05 12:30:38,47,XAUUSD,sell,out,0.09,1406.42,47,0.00,-16.20,-117.18,24696.58,sl 1406.43
2019.07.18 15:00:00,48,XAUUSD,buy,in,0.16,1422.35,48,0.00,0.00,0.00,24696.58,els atr=3.72786
2019.07.19 00:11:44,49,XAUUSD,sell,out,0.16,1441.75,49,0.00,-7.20,310.40,24999.78,sl 1441.75
2019.07.19 12:00:00,50,XAUUSD,buy,in,0.15,1437.66,50,0.00,0.00,0.00,24999.78,els atr=4.13571
2019.07.19 14:43:28,51,XAUUSD,sell,out,0.15,1429.47,51,0.00,0.00,-122.85,24876.93,sl 1429.47
2019.08.01 15:00:00,52,XAUUSD,buy,in,0.16,1413.92,52,0.00,0.00,0.00,24876.93,els atr=3.83714
2019.08.01 23:37:29,53,XAUUSD,sell,out,0.16,1437.60,53,0.00,0.00,378.88,25255.81,sl 1437.60
2019.08.06 12:00:00,54,XAUUSD,buy,in,0.11,1463.44,54,0.00,0.00,0.00,25255.81,els atr=5.51571
2019.08.08 01:35:30,55,XAUUSD,sell,out,0.11,1493.88,55,0.00,-19.80,334.84,25570.85,sl 1493.88
2019.08.13 13:00:00,56,XAUUSD,buy,in,0.12,1520.11,56,0.00,0.00,0.00,25570.85,els atr=5.11786
2019.08.13 13:40:05,57,XAUUSD,sell,out,0.12,1509.74,57,0.00,0.00,-124.44,25446.41,sl 1509.91
2019.08.26 12:00:00,58,XAUUSD,buy,in,0.08,1531.53,58,0.00,0.00,0.00,25446.41,els atr=7.23857
2019.08.29 16:44:43,59,XAUUSD,sell,out,0.08,1528.67,59,0.00,-18.00,-22.88,25405.53,sl 1528.68
2019.09.04 13:00:00,60,XAUUSD,buy,in,0.15,1541.63,60,0.00,0.00,0.00,25405.53,els atr=4.10929
2019.09.05 01:31:24,61,XAUUSD,sell,out,0.15,1544.73,61,0.00,-20.25,46.50,25431.78,sl 1544.73
2019.10.10 13:00:00,62,XAUUSD,sell,in,0.15,1502.73,62,0.00,0.00,0.00,25431.78,els atr=4.11500
2019.10.11 08:01:41,63,XAUUSD,buy,out,0.15,1503.21,63,0.00,3.00,-7.20,25427.58,sl 1503.21
2019.12.02 14:00:00,64,XAUUSD,sell,in,0.32,1458.68,64,0.00,0.00,0.00,25427.58,els atr=1.93000
2019.12.02 15:00:35,65,XAUUSD,buy,out,0.32,1462.55,65,0.00,0.00,-123.84,25303.74,sl 1462.54
2019.12.04 15:00:00,66,XAUUSD,sell,in,0.2,1475.26,66,0.00,0.00,0.00,25303.74,els atr=3.07429
2019.12.10 12:20:03,67,XAUUSD,buy,out,0.2,1467.93,67,0.00,24.00,146.60,25474.34,sl 1467.93
2020.01.14 15:00:00,68,XAUUSD,buy,in,0.18,1546.41,68,0.00,0.00,0.00,25474.34,els atr=3.36214
2020.01.16 15:45:40,69,XAUUSD,sell,out,0.18,1548.06,69,0.00,-32.40,29.70,25471.64,sl 1548.09
2020.02.19 15:00:00,70,XAUUSD,buy,in,0.23,1604.34,70,0.00,0.00,0.00,25471.64,els atr=2.74786
2020.02.20 07:19:43,71,XAUUSD,sell,out,0.23,1604.48,71,0.00,-31.05,3.22,25443.81,sl 1604.69
2020.03.06 14:00:00,72,XAUUSD,buy,in,0.07,1673.58,72,0.00,0.00,0.00,25443.81,els atr=8.04429
2020.03.06 15:23:40,73,XAUUSD,sell,out,0.07,1663.13,73,0.00,0.00,-73.15,25370.66,sl 1663.13
2020.03.09 13:00:00,74,XAUUSD,buy,in,0.04,1677.64,74,0.00,0.00,0.00,25370.66,els atr=15.13143
2020.03.10 19:11:41,75,XAUUSD,sell,out,0.04,1647.38,75,0.00,-1.80,-121.04,25247.82,sl 1647.39
2020.03.13 12:00:00,76,XAUUSD,sell,in,0.04,1580.88,76,0.00,0.00,0.00,25247.82,els atr=13.14357
2020.03.15 23:05:04,77,XAUUSD,buy,out,0.04,1543.75,77,0.00,0.80,148.52,25397.14,sl 1543.73
2020.03.25 12:00:00,78,XAUUSD,buy,in,0.04,1609.63,78,0.00,0.00,0.00,25397.14,els atr=14.48071
2020.03.31 10:21:40,79,XAUUSD,sell,out,0.04,1600.56,79,0.00,-10.80,-36.28,25350.06,sl 1600.60
2020.04.07 12:00:00,80,XAUUSD,buy,in,0.06,1653.27,80,0.00,0.00,0.00,25350.06,els atr=9.87429
2020.04.15 06:36:39,81,XAUUSD,sell,out,0.06,1718.07,81,0.00,-21.60,388.80,25717.26,sl 1718.07
2020.04.28 13:00:00,82,XAUUSD,buy,in,0.1,1710.86,82,0.00,0.00,0.00,25717.26,els atr=6.39929
2020.04.28 13:55:40,83,XAUUSD,sell,out,0.1,1698.04,83,0.00,0.00,-128.20,25589.06,sl 1698.05
2020.06.01 15:00:00,84,XAUUSD,buy,in,0.12,1738.00,84,0.00,0.00,0.00,25589.06,els atr=5.25500
2020.06.02 15:52:30,85,XAUUSD,sell,out,0.12,1729.39,85,0.00,-5.40,-103.32,25480.34,sl 1729.39
2020.06.22 13:00:00,86,XAUUSD,buy,in,0.1,1756.54,86,0.00,0.00,0.00,25480.34,els atr=5.87857
2020.06.24 16:10:29,87,XAUUSD,sell,out,0.1,1761.13,87,0.00,-9.00,45.90,25517.24,sl 1761.13
2020.07.07 14:00:00,88,XAUUSD,buy,in,0.17,1785.01,88,0.00,0.00,0.00,25517.24,els atr=3.63714
2020.07.08 18:44:17,89,XAUUSD,sell,out,0.17,1807.22,89,0.00,-7.65,377.57,25887.16,sl 1807.25
2020.07.14 13:00:00,90,XAUUSD,buy,in,0.15,1801.35,90,0.00,0.00,0.00,25887.16,els atr=4.17143
2020.07.15 13:38:43,91,XAUUSD,sell,out,0.15,1802.35,91,0.00,-6.75,15.00,25895.41,sl 1802.37
2020.07.22 14:00:00,92,XAUUSD,buy,in,0.08,1855.96,92,0.00,0.00,0.00,25895.41,els atr=7.22214
2020.07.28 03:03:03,93,XAUUSD,sell,out,0.08,1959.49,93,0.00,-21.60,828.24,26702.05,sl 1959.49
2020.07.28 13:00:00,94,XAUUSD,buy,in,0.04,1939.32,94,0.00,0.00,0.00,26702.05,els atr=15.69357
2020.08.07 14:07:32,95,XAUUSD,sell,out,0.04,2025.65,95,0.00,-21.60,345.32,27025.77,sl 2025.65
2020.08.12 13:00:00,96,XAUUSD,buy,in,0.03,1937.37,96,0.00,0.00,0.00,27025.77,els atr=21.83500
2020.08.19 18:14:30,97,XAUUSD,sell,out,0.03,1950.17,97,0.00,-9.45,38.40,27054.72,sl 1950.17
2020.09.22 13:00:00,98,XAUUSD,sell,in,0.08,1912.36,98,0.00,0.00,0.00,27054.72,els atr=7.84500
2020.09.24 16:02:43,99,XAUUSD,buy,out,0.08,1872.33,99,0.00,6.40,320.24,27381.36,sl 1872.25
2020.10.02 14:00:00,100,XAUUSD,sell,in,0.09,1902.99,100,0.00,0.00,0.00,27381.36,els atr=7.41643
